"","Family","Genus","sci_name","nutrient_data","ctmax_estimate","gl_fish","mean_temp","sd_temp"
"269","Gobiidae","Croilia","Croilia mossambica",NA,"Y",NA,25.7942676655284,2.32333313009454
"270","Cyprinidae","Crossocheilus","Crossocheilus latius","Y",NA,NA,22.6513421791673,6.32189725253041
"271","Acanthuridae","Ctenochaetus","Ctenochaetus binotatus","Y",NA,NA,27.6210307660437,1.80452400650943
"272","Acanthuridae","Ctenochaetus","Ctenochaetus striatus","Y",NA,NA,27.8598512603649,1.80085025322064
"273","Cyprinidae","Ctenopharyngodon","Ctenopharyngodon idella","Y","Y","Y",15.6604564878283,9.17915437588622
"274","Nomeidae","Cubiceps","Cubiceps whiteleggii","Y",NA,NA,25.1282563850244,3.34265074671783
"275","Gasterosteidae","Culaea","Culaea inconstans",NA,"Y","Y",7.0385444432866,6.09804139218256
"276","Cyprinidae","Cyclocheilichthys","Cyclocheilichthys apogon","Y",NA,NA,27.1816330028985,1.53217597993137
"277","Cyprinidae","Cyclocheilichthys","Cyclocheilichthys enoplos","Y",NA,NA,27.5217529713267,1.41231884871521
"278","Cyclopteridae","Cyclopterus","Cyclopterus lumpus","Y",NA,NA,10.3841076946354,5.01878972593966
"279","Embiotocidae","Cymatogaster","Cymatogaster aggregata",NA,"Y",NA,7.51237676948164,6.15971038535311
"280","Cynoglossidae","Cynoglossus","Cynoglossus arel","Y",NA,NA,28.3415672464942,2.0661733283918
"281","Cynoglossidae","Cynoglossus","Cynoglossus lida","Y",NA,NA,27.7295483514249,1.71265352365689
"282","Cynoglossidae","Cynoglossus","Cynoglossus puncticeps",NA,"Y",NA,27.8587511881451,2.00421945485258
"283","Sciaenidae","Cynoscion","Cynoscion acoupa","Y",NA,NA,26.6697791354513,2.1211407306824
"284","Sciaenidae","Cynoscion","Cynoscion arenarius","Y",NA,NA,27.4580437425811,2.08134006732835
"285","Sciaenidae","Cynoscion","Cynoscion jamaicensis","Y",NA,NA,23.2932209970302,2.43133724018609
"286","Sciaenidae","Cynoscion","Cynoscion leiarchus","Y",NA,NA,23.0689572208517,2.28272476737246
"287","Sciaenidae","Cynoscion","Cynoscion nebulosus","Y","Y",NA,26.8791765757625,2.63471879433725
"288","Sciaenidae","Cynoscion","Cynoscion nothus","Y",NA,NA,26.3204732405786,2.96803273190042
"289","Sciaenidae","Cynoscion","Cynoscion regalis","Y",NA,NA,20.8767692623074,3.42128213439283
"290","Leuciscidae","Cyprinella","Cyprinella analostana",NA,NA,"Y",18.8632386886149,4.19606853547378
"291","Leuciscidae","Cyprinella","Cyprinella lutrensis",NA,"Y","Y",20.5160924754241,5.84243775088262
"292","Leuciscidae","Cyprinella","Cyprinella spiloptera",NA,"Y","Y",14.9082103759396,5.30390357921206
"293","Leuciscidae","Cyprinella","Cyprinella whipplei",NA,NA,"Y",19.9250545800365,3.50777642101484
"294","Cyprinidae","Cyprinion","Cyprinion macrostomum","Y","Y",NA,27.9009318943227,4.36474158876129
"295","Cyprinodontidae","Cyprinodon","Cyprinodon artifrons",NA,"Y",NA,28.2937254102947,1.01197548883521
"296","Cyprinodontidae","Cyprinodon","Cyprinodon bovinus",NA,"Y",NA,26.3128813959859,3.04264563419207
"297","Cyprinodontidae","Cyprinodon","Cyprinodon dearborni",NA,"Y",NA,26.8732834807454,1.82521148403299
"298","Cyprinodontidae","Cyprinodon","Cyprinodon elegans",NA,"Y",NA,26.2814782792642,2.86821836571683
"299","Cyprinodontidae","Cyprinodon","Cyprinodon macularius",NA,"Y",NA,26.2168470457236,4.02980405200217
"300","Cyprinodontidae","Cyprinodon","Cyprinodon nevadensis",NA,"Y",NA,26.5513931125608,2.731965367685
"301","Cyprinodontidae","Cyprinodon","Cyprinodon rubrofluviatilis",NA,"Y",NA,21.3769100748741,2.58902117020741
"302","Cyprinodontidae","Cyprinodon","Cyprinodon salinus",NA,"Y",NA,26.9389307576579,2.90869379242442
"303","Cyprinodontidae","Cyprinodon","Cyprinodon variegatus",NA,"Y",NA,25.7637709499962,3.70314228550188
"304","Cyprinidae","Cyprinus","Cyprinus carpio","Y","Y","Y",15.8153209516355,6.7005355225863
"305","Umbridae","Dallia","Dallia pectoralis","Y",NA,NA,2.65459747166288,2.80755598131282
"306","Cyprinidae","Danio","Danio albolineatus",NA,"Y",NA,25.8770434566151,3.55322814180917
"307","Cyprinidae","Danio","Danio dangila","Y","Y",NA,16.8928917938751,6.25540458002791
"308","Centrophoridae","Deania","Deania calcea","Y",NA,NA,15.3714827862734,2.13389350742033
"309","Centrophoridae","Deania","Deania calceus","Y",NA,NA,16.7047979245334,6.69589833453288
"310","Carangidae","Decapterus","Decapterus macrosoma","Y",NA,NA,25.8672511303425,3.62500063569362
"311","Carangidae","Decapterus","Decapterus punctatus","Y",NA,NA,26.1066828821473,3.31933431006152
"312","Carangidae","Decapterus","Decapterus russelli","Y",NA,NA,27.6780994455572,2.40048516874141
"313","Sparidae","Dentex","Dentex canariensis","Y",NA,NA,25.325756043646,2.36835568529202
"314","Sparidae","Dentex","Dentex dentex","Y",NA,NA,21.9926366945054,3.59548119611346
"315","Sparidae","Dentex","Dentex macrophthalmus","Y",NA,NA,24.1902065021243,2.65865697264165
"316","Sparidae","Dentex","Dentex maroccanus","Y",NA,NA,24.0341557947365,2.79397290124639
"317","Hemiramphidae","Dermogenys","Dermogenys pusilla","Y",NA,NA,26.9439306481471,1.28239463728618
"318","Haemulidae","Diagramma","Diagramma pictum","Y",NA,NA,26.5334544777826,2.36520877772823
"319","Labrisomidae","Dialommus","Dialommus macrocephalus",NA,"Y",NA,27.1510739041504,1.89062129348476
"320","Myctophidae","Diaphus","Diaphus suborbitalis","Y",NA,NA,27.7279590605714,2.28075086239379
"321","Myctophidae","Diaphus","Diaphus watasei","Y",NA,NA,26.6370370028361,3.24331688834607
"322","Moronidae","Dicentrarchus","Dicentrarchus labrax","Y","Y",NA,16.9581726413257,7.28994990208495
"323","Moronidae","Dicentrarchus","Dicentrarchus punctatus","Y",NA,NA,22.7955160474797,3.45893521725243
"324","Soleidae","Dicologlossa","Dicologlossa cuneata","Y",NA,NA,23.2902816447067,3.36645039605511
"325","Leuciscidae","Dionda","Dionda diaboli",NA,"Y",NA,27.0925817994284,2.34544931355578
"326",NA,"Diplocheilichthys","Diplocheilichthys pleurotaenia","Y",NA,NA,26.2646698011583,0.96392318008025
"327","Sparidae","Diplodus","Diplodus annularis","Y",NA,NA,22.2087811409236,3.22948661245672
"328","Sparidae","Diplodus","Diplodus bellottii",NA,"Y",NA,23.8851862961383,2.70568739349979
"329","Sparidae","Diplodus","Diplodus puntazzo","Y",NA,NA,22.928145964203,3.24443983003897
"330","Sparidae","Diplodus","Diplodus sargus","Y","Y",NA,23.2383024687457,4.06583318241422
"331","Sparidae","Diplodus","Diplodus vulgaris","Y","Y",NA,22.5603661944573,3.22159778620605
"332","Narcinidae","Discopyge","Discopyge tschudii","Y",NA,NA,13.0279997534451,5.2342443573814
"333","Nototheniidae","Dissostichus","Dissostichus eleginoides","Y",NA,NA,7.61929772455422,1.29969533663278
"334","Nototheniidae","Dissostichus","Dissostichus mawsoni","Y",NA,NA,-0.743478093360945,0.504149588352779
"335","Clupeidae","Dorosoma","Dorosoma cepedianum","Y","Y","Y",19.1346719885895,6.42175197795433
"336","Clupeidae","Dorosoma","Dorosoma petenense",NA,"Y",NA,27.0647137773713,2.77719977380777
"337","Clupeidae","Dussumieria","Dussumieria acuta","Y",NA,NA,28.3800250540816,1.3322494683747
"338","Clupeidae","Dussumieria","Dussumieria elopsoides","Y",NA,NA,28.2888951687848,1.87455657984448
"339","Ophichthidae","Echelus","Echelus myrus","Y",NA,NA,23.6487004011702,3.00502381672194
"340","Trachinidae","Echiichthys","Echiichthys vipera","Y",NA,NA,14.6110167682379,1.80289690970395
"341","Echinorhinidae","Echinorhinus","Echinorhinus brucus","Y",NA,NA,20.7230435759799,5.63244104056771
"342","Myctophidae","Electrona","Electrona antarctica","Y",NA,NA,4.01740323915432,4.556491082855
"343","Myctophidae","Electrona","Electrona carlsbergi","Y",NA,NA,9.68088631107213,5.82157736338613
"344","Gadidae","Eleginus","Eleginus gracilis","Y",NA,NA,3.48222276862192,3.19938054489342
"345","Eleotridae","Eleotris","Eleotris fusca","Y",NA,NA,28.1664688817806,1.14165142917187
"346","Polynemidae","Eleutheronema","Eleutheronema tetradactylum","Y",NA,NA,27.5128847630883,1.06083458281533
"347",NA,"Ellochelon","Ellochelon vaigiensis",NA,"Y",NA,26.6375597542902,4.32054062743747
"348","Elopidae","Elops","Elops saurus","Y",NA,NA,27.2071007338539,2.25532178813961
"349","Engraulidae","Encrasicholina","Encrasicholina devisi","Y",NA,NA,25.8265106388313,3.39971468579137
"350","Engraulidae","Engraulis","Engraulis encrasicolus","Y",NA,NA,15.7360206178021,2.68256926762348
"351","Engraulidae","Engraulis","Engraulis japonicus",NA,"Y",NA,19.3205079970275,6.47289871082973
"352","Engraulidae","Engraulis","Engraulis mordax",NA,"Y",NA,15.7916431512911,7.80099803495974
"353","Centrarchidae","Enneacanthus","Enneacanthus gloriosus",NA,NA,"Y",23.0344406175435,3.88330073249457
"354","Pleuronectidae","Eopsetta","Eopsetta jordani","Y",NA,NA,8.51441248587639,5.32412164042147
"355","Labridae","Epibulus","Epibulus insidiator","Y",NA,NA,27.8540017231788,1.80434065275485
"356","Serranidae","Epinephelus","Epinephelus aeneus","Y",NA,NA,24.4261450161277,2.4727376739197
"357","Serranidae","Epinephelus","Epinephelus coioides","Y",NA,NA,28.0825806463906,2.23446786906647
"358","Serranidae","Epinephelus","Epinephelus fasciatus","Y",NA,NA,27.7126909481274,2.16497444463321
"359","Serranidae","Epinephelus","Epinephelus fuscoguttatus",NA,"Y",NA,28.052027529584,1.84275367061897
"360","Serranidae","Epinephelus","Epinephelus longispinis","Y",NA,NA,27.497098679572,1.68376202225605
"361","Serranidae","Epinephelus","Epinephelus marginatus","Y",NA,NA,21.8142808422264,1.80285189135545
"362","Serranidae","Epinephelus","Epinephelus merra","Y",NA,NA,27.5651041120833,1.90067630888442
"363","Serranidae","Epinephelus","Epinephelus morio","Y",NA,NA,27.1589179798927,1.85973488012177
"364","Serranidae","Epinephelus","Epinephelus sexfasciatus","Y",NA,NA,28.092727222783,1.61546856107516
"365","Serranidae","Epinephelus","Epinephelus spilotoceps","Y",NA,NA,27.8274999305346,1.56277279574647
"366","Serranidae","Epinephelus","Epinephelus striatus","Y",NA,NA,27.6183828497774,1.42285885497648
"367","Serranidae","Epinephelus","Epinephelus tauvina","Y","Y",NA,27.7971308759141,1.91690074244592
"368",NA,"Equulites","Equulites elongatus","Y",NA,NA,28.220463897899,1.97604398021225
"369","Catostomidae","Erimyzon","Erimyzon oblongus",NA,NA,"Y",20.2132659891665,4.75323522825462
"370","Catostomidae","Erimyzon","Erimyzon sucetta",NA,NA,"Y",21.3129104354138,4.98744784668416
"371","Cyprinidae","Esomus","Esomus danrica","Y",NA,NA,25.0491931349277,7.46061910084428
"372","Cyprinidae","Esomus","Esomus longimanus","Y",NA,NA,27.0268747871556,2.56437207528872
"373","Esocidae","Esox","Esox americanus",NA,NA,"Y",19.1925887141063,5.66764021525238
"374","Esocidae","Esox","Esox lucius","Y","Y","Y",5.64322023429637,6.40062834115226
"375","Esocidae","Esox","Esox niger","Y",NA,"Y",15.7104419235004,6.09315572549584
"376","Percidae","Etheostoma","Etheostoma blennioides",NA,"Y","Y",17.9530249596268,3.60493731650506
"377","Percidae","Etheostoma","Etheostoma caeruleum",NA,"Y","Y",16.3361596952245,4.71261599773542
"378","Percidae","Etheostoma","Etheostoma cragini",NA,"Y",NA,17.8917970013749,4.03708339272363
"379","Percidae","Etheostoma","Etheostoma exile",NA,NA,"Y",8.01318989653986,6.05504142388041
"380","Percidae","Etheostoma","Etheostoma fonticola",NA,"Y",NA,26.0958665128338,1.93045938776973
"381","Percidae","Etheostoma","Etheostoma microperca",NA,NA,"Y",13.7715230630901,4.88309258876323
"382","Percidae","Etheostoma","Etheostoma nigrum",NA,"Y","Y",10.5060240284825,7.44708621929191
"383","Percidae","Etheostoma","Etheostoma spectabile",NA,"Y","Y",18.7143927962822,4.04449693331108
"384","Percidae","Etheostoma","Etheostoma zonale",NA,NA,"Y",17.0301335486979,5.09101316709691
"385","Clupeidae","Ethmalosa","Ethmalosa fimbriata","Y",NA,NA,26.2821137189093,2.09219077200754
"386","Etmopteridae","Etmopterus","Etmopterus princeps","Y",NA,NA,15.1951624235828,5.71505796699007
"387","Cichlidae","Etroplus","Etroplus suratensis","Y","Y",NA,27.6018989018796,2.10300213554295
"388",NA,NA,"Etrumeus sadina",NA,NA,NA,21.2926032546191,4.03724989400774
"389",NA,"Eubleekeria","Eubleekeria splendens","Y",NA,NA,27.526409772377,2.24170932988256
"390","Gerreidae","Eucinostomus","Eucinostomus argenteus",NA,"Y",NA,27.1922064424235,2.05262065621405
"391","Gerreidae","Eucinostomus","Eucinostomus gracilis",NA,"Y",NA,25.4552573808783,3.70761181669533
"392","Scombridae","Euthynnus","Euthynnus affinis","Y","Y",NA,27.7698907945775,2.38923981386455
"393","Scombridae","Euthynnus","Euthynnus alletteratus","Y",NA,NA,24.3982098536653,3.88518883188058
"394","Triglidae","Eutrigla","Eutrigla gurnardus","Y",NA,NA,12.2512667178809,3.52169845691615
"395","Schilbeidae","Eutropiichthys","Eutropiichthys vacha","Y",NA,NA,26.5807209882847,4.10392335485089
"396","Leuciscidae","Exoglossum","Exoglossum laurae",NA,NA,"Y",14.8636606527018,2.82005821327325
"397","Leuciscidae","Exoglossum","Exoglossum maxillingua",NA,NA,"Y",14.4137856354503,6.51414091477944
"398","Cyprinodontidae","Floridichthys","Floridichthys carpio",NA,"Y",NA,26.990518701048,2.06267825867186
"399","Fundulidae","Fundulus","Fundulus dispar",NA,NA,"Y",20.4026744558905,4.69557575220088
"400","Fundulidae","Fundulus","Fundulus grandis",NA,"Y",NA,26.5727516744181,2.33135102579176
"401","Fundulidae","Fundulus","Fundulus notatus",NA,"Y","Y",20.9627977445243,4.3872325013265
"402","Fundulidae","Fundulus","Fundulus olivaceus",NA,"Y",NA,23.179204567297,2.77423680811394
"403","Fundulidae","Fundulus","Fundulus sciadicus",NA,"Y",NA,14.2343749348164,4.43663192783889
"404","Fundulidae","Fundulus","Fundulus zebrinus",NA,"Y",NA,21.8199094667478,4.82147563519117
"405",NA,NA,"Gadus chalcogrammus",NA,NA,NA,7.53526253532675,2.70497093088566
"406","Gadidae","Gadus","Gadus macrocephalus","Y",NA,NA,11.3238382025133,2.85708019241362
"407","Gadidae","Gadus","Gadus morhua","Y","Y",NA,9.46354964041385,5.08242518504062
"408","Galaxiidae","Galaxias","Galaxias argenteus",NA,"Y",NA,13.1232514720877,3.34299585486853
"409","Galaxiidae","Galaxias","Galaxias brevipinnis",NA,"Y",NA,14.7116030433958,3.62509140458682
"410","Galaxiidae","Galaxias","Galaxias fasciatus",NA,"Y",NA,13.4759673885967,3.31380160508346
"411","Galaxiidae","Galaxias","Galaxias maculatus",NA,"Y",NA,15.9016521790151,3.93325320447329
"412","Galaxiidae","Galaxias","Galaxias postvectis",NA,"Y",NA,14.0635770929818,3.30337928287482
"413","Ariidae","Galeichthys","Galeichthys feliceps","Y",NA,NA,20.229806008906,1.84225054412722
"414","Triakidae","Galeorhinus","Galeorhinus galeus","Y",NA,NA,16.3715140639952,5.95369184610327
"415","Scyliorhinidae","Galeus","Galeus melastomus","Y",NA,NA,19.3302416290047,6.03706528496862
"416","Poeciliidae","Gambusia","Gambusia affinis",NA,"Y","Y",22.4486502724305,4.30808817386676
"417","Poeciliidae","Gambusia","Gambusia holbrooki",NA,"Y",NA,23.3694686708657,3.49447992038746
"418","Poeciliidae","Gambusia","Gambusia nobilis",NA,"Y",NA,23.8244819060473,3.18082492999239
"419","Poeciliidae","Gambusia","Gambusia yucatana",NA,"Y",NA,27.1698402470022,2.38755349539787
"420","Scombridae","Gasterochisma","Gasterochisma melampus","Y",NA,NA,15.1978082036713,5.25156300448345
"421","Gasterosteidae","Gasterosteus","Gasterosteus aculeatus",NA,"Y","Y",9.99030578048051,7.6157408690287
"422","Ophidiidae","Genypterus","Genypterus blacodes","Y",NA,NA,12.4149869405508,2.05000761405968
"423",NA,"Geophagus","Geophagus brasiliensis",NA,"Y",NA,22.7839287488793,2.27800390862935
"424","Gerreidae","Gerres","Gerres oyena",NA,"Y",NA,27.9586692460163,2.30950875642452
"425","Cyprinidae","Gibelion","Gibelion catla","Y",NA,NA,28.0129533386004,2.73479578964987
"426","Leuciscidae","Gila","Gila coerulea",NA,"Y",NA,13.0753548637115,2.37308648031275
"427","Leuciscidae","Gila","Gila elegans",NA,"Y",NA,19.1237530487924,7.46609218278301
"428","Leuciscidae","Gila","Gila intermedia",NA,"Y",NA,22.4660288485852,3.70177561338506
"429","Leuciscidae","Gila","Gila robusta",NA,"Y",NA,16.383243466982,8.03860703913372
"430","Gobiidae","Gillichthys","Gillichthys mirabilis",NA,"Y",NA,23.3049462305261,5.02273192782902
"431","Gobiidae","Glossogobius","Glossogobius giuris","Y",NA,NA,28.9753230121015,2.87643785442132
"432","Pleuronectidae","Glyptocephalus","Glyptocephalus zachirus","Y",NA,NA,6.74273058623192,4.93208206328854
"433","Ophidiidae","Glyptophidium","Glyptophidium argenteum","Y",NA,NA,26.8749323482152,2.93869167360109
"434","Cyprinidae","Gobio","Gobio gobio",NA,"Y",NA,13.2253142985264,4.07258532114933
"435","Eleotridae","Gobiomorphus","Gobiomorphus basalis",NA,"Y",NA,15.7533559724764,1.8517551278936
"436","Eleotridae","Gobiomorphus","Gobiomorphus breviceps",NA,"Y",NA,12.1275636476925,3.00041758630538
"437","Eleotridae","Gobiomorphus","Gobiomorphus cotidianus",NA,"Y",NA,13.1923631314409,3.4449081290523
"438","Nototheniidae","Gobionotothen","Gobionotothen gibberifrons","Y","Y",NA,1.28551808520933,2.73083885918687
"439","Gobiidae","Gobius","Gobius paganellus",NA,"Y",NA,20.5358506072822,5.04811405204417
"440","Clupeidae","Gonialosa","Gonialosa manmina","Y",NA,NA,28.3272085882607,1.88270290480191
"441","Clupeidae","Gudusia","Gudusia chapra","Y",NA,NA,26.7042128261083,3.9503970688258
"442","Percidae","Gymnocephalus","Gymnocephalus cernua",NA,"Y","Y",6.26800266639824,6.60958949389531
"443","Characidae","Gymnocharacinus","Gymnocharacinus bergii",NA,"Y",NA,18.8665824794133,0.81911729593185
"444","Myctophidae","Gymnoscopelus","Gymnoscopelus braueri","Y",NA,NA,3.29803122785866,4.03357164892025
"445","Myctophidae","Gymnoscopelus","Gymnoscopelus nicholsi","Y",NA,NA,4.5336163324415,5.06099242365946
"446","Gymnuridae","Gymnura","Gymnura marmorata","Y",NA,NA,25.0410033366994,4.09001797908803
"447","Haemulidae","Haemulon","Haemulon flavolineatum",NA,"Y",NA,27.5738148638184,1.47658176067109
"448","Haemulidae","Haemulon","Haemulon steindachneri",NA,"Y",NA,26.3887804859287,2.58224535504867
"449","Labridae","Halichoeres","Halichoeres binotopsis",NA,"Y",NA,27.7499143854411,1.68757314570856
"450","Labridae","Halichoeres","Halichoeres dispilus",NA,"Y",NA,24.8077631823083,4.35226149982895
"451","Labridae","Halichoeres","Halichoeres nigrescens",NA,"Y",NA,28.1238787866028,2.01753290108498
"452","Cyprinidae","Hampala","Hampala macrolepidota","Y",NA,NA,27.2168966322988,1.48836193416118
"453","Synodontidae","Harpadon","Harpadon nehereus","Y",NA,NA,26.6601001126322,2.89000672071258
"454","Scorpaenidae","Helicolenus","Helicolenus dactylopterus","Y",NA,NA,13.6789893744034,2.51452716469049
"455","Helostomatidae","Helostoma","Helostoma temminckii","Y",NA,NA,26.9537907521798,1.92239621134975
"456","Bagridae","Hemibagrus","Hemibagrus nemurus","Y",NA,NA,27.2522017004953,1.06542439654519
"457","Labridae","Hemigymnus","Hemigymnus fasciatus","Y",NA,NA,27.5535833494434,2.08065240207869
"458","Hemiramphidae","Hemiramphus","Hemiramphus far","Y",NA,NA,27.1950872133036,1.30964385639167
"459","Pimelodidae","Hemisorubim","Hemisorubim platyrhynchos","Y",NA,NA,24.8936800767704,4.16146822503128
"460","Cyprinidae","Henicorhynchus","Henicorhynchus siamensis","Y",NA,NA,28.2627249220924,1.87789195707378
"461","Leuciscidae","Hesperoleucus","Hesperoleucus symmetricus",NA,"Y",NA,15.8909302035695,4.2526390048429
"462","Poeciliidae","Heterandria","Heterandria formosa",NA,"Y",NA,25.6962962853015,2.00294546110271
"463","Heteropneustidae","Heteropneustes","Heteropneustes fossilis","Y","Y",NA,25.3997829546104,6.84995355093927
"464","Pleuronectidae","Hippoglossoides","Hippoglossoides elassodon","Y",NA,NA,6.12243711360111,4.11066732155276
"465","Pleuronectidae","Hippoglossus","Hippoglossus hippoglossus","Y",NA,NA,9.884499515289,4.26765841778841
"466","Pleuronectidae","Hippoglossus","Hippoglossus stenolepis","Y",NA,NA,6.31985131686405,4.93121984061481
"467","Erythrinidae","Hoplias","Hoplias malabaricus","Y",NA,NA,25.3436379765487,3.33513234288986
"468","Trachichthyidae","Hoplostethus","Hoplostethus atlanticus","Y",NA,NA,14.9554614332968,1.20965377957235
"469","Bagridae","Horabagrus","Horabagrus brachysoma",NA,"Y",NA,25.8631897626405,1.64141697634211
"470","Acipenseridae","Huso","Huso huso","Y",NA,NA,16.4198368299382,6.67004532487717
"471","Leuciscidae","Hybognathus","Hybognathus placitus",NA,"Y",NA,16.8597664181504,4.81376936003668
"472","Leuciscidae","Hybognathus","Hybognathus regius",NA,NA,"Y",18.7006962786688,5.44030926570248
"473","Leuciscidae","Hybopsis","Hybopsis amblops",NA,"Y","Y",18.4750146421855,3.29170639067953
"474","Chimaeridae","Hydrolagus","Hydrolagus affinis","Y",NA,NA,13.1833557426878,6.40481525977828
"475","Chimaeridae","Hydrolagus","Hydrolagus colliei","Y",NA,NA,14.0913807339419,8.9246546458874
"476",NA,NA,"Hypanus americanus",NA,NA,NA,25.8526319538902,3.40779647799981
"477",NA,NA,"Hypanus sabinus",NA,NA,NA,27.2323930462047,2.36075863605271
"478","Catostomidae","Hypentelium","Hypentelium nigricans",NA,"Y","Y",17.5021327583929,4.84150564208444
"479","Centrolophidae","Hyperoglyphe","Hyperoglyphe antarctica","Y",NA,NA,22.2915218173964,1.71414747279087
"480","Osmeridae","Hypomesus","Hypomesus nipponensis",NA,"Y",NA,8.75247271080618,6.40911382472754
"481","Osmeridae","Hypomesus","Hypomesus olidus","Y",NA,NA,2.87919564773036,3.20592546412853
"482","Osmeridae","Hypomesus","Hypomesus pretiosus","Y",NA,NA,11.3488043106199,4.54290951435094
"483","Osmeridae","Hypomesus","Hypomesus transpacificus",NA,"Y",NA,17.2726726101856,3.61649150059144
"484","Cyprinidae","Hypophthalmichthys","Hypophthalmichthys molitrix","Y","Y",NA,19.633877954214,5.17529428901395
"485","Cyprinidae","Hypophthalmichthys","Hypophthalmichthys nobilis","Y","Y",NA,21.9854326604109,4.02378467173222
"486","Hypophthalmidae","Hypophthalmus","Hypophthalmus edentatus","Y",NA,NA,25.5491836985673,4.39072510126355
"487","Hemiramphidae","Hyporhamphus","Hyporhamphus dussumieri","Y","Y",NA,27.6875634338514,2.02581394460967
"488","Hemiramphidae","Hyporhamphus","Hyporhamphus ihi","Y",NA,NA,16.5041464629427,1.97451766346002
"489","Hemiramphidae","Hyporhamphus","Hyporhamphus limbatus","Y",NA,NA,28.182181720576,2.08418945625067
"490","Hemiramphidae","Hyporhamphus","Hyporhamphus rosae",NA,"Y",NA,25.8654050422741,3.38173728214002
"491","Loricariidae","Hypostomus","Hypostomus borellii",NA,"Y",NA,21.3956425835797,4.83172507638094
"492","Eleotridae","Hypseleotris","Hypseleotris galii",NA,"Y",NA,22.3861696180204,3.04049651623451
"493","Eleotridae","Hypseleotris","Hypseleotris klunzingeri",NA,"Y",NA,22.9500029521174,3.93037502969824
"494","Blenniidae","Hypsoblennius","Hypsoblennius gilberti",NA,"Y",NA,20.8359128990076,3.51222872486123
"495","Embiotocidae","Hysterocarpus","Hysterocarpus traskii",NA,"Y",NA,16.6639501165467,4.66801221281183
"496","Petromyzontidae","Ichthyomyzon","Ichthyomyzon castaneus",NA,NA,"Y",16.9212613945302,6.45998549307966
"497","Ictaluridae","Ictalurus","Ictalurus furcatus","Y",NA,NA,21.9429120938339,4.85418651656034
"498","Ictaluridae","Ictalurus","Ictalurus punctatus","Y","Y","Y",19.536812817958,5.72882472917101
"499","Catostomidae","Ictiobus","Ictiobus bubalus",NA,"Y","Y",19.9416061546715,5.93859258970048
"500","Catostomidae","Ictiobus","Ictiobus cyprinellus",NA,NA,"Y",16.6862142744015,5.48711781884527
"501","Catostomidae","Ictiobus","Ictiobus niger",NA,NA,"Y",19.0807731626716,4.71514924166868
"502","Pristigasteridae","Ilisha","Ilisha elongata","Y",NA,NA,22.3080187823476,4.36262601379302
"503","Zoarcidae","Iluocoetes","Iluocoetes fimbriatus","Y",NA,NA,11.3767863021554,3.82333124931667
"504","Pleuronectidae","Isopsetta","Isopsetta isolepis","Y",NA,NA,11.4225943497875,1.44160997736667
"505","Gobiidae","Istigobius","Istigobius ornatus",NA,"Y",NA,26.4443628557173,4.62722100005502
"506","Lamnidae","Isurus","Isurus oxyrinchus","Y",NA,NA,24.5771275755681,4.64151433714567
"507","Sciaenidae","Johnius","Johnius belangerii","Y",NA,NA,28.5370895787491,2.04169482527218
"508",NA,NA,"Karalla dussumieri",NA,NA,NA,27.7273703968321,1.96310243892585
"509","Scombridae","Katsuwonus","Katsuwonus pelamis","Y","Y",NA,24.7398065055228,4.45664210389556
"510","Cyprinidae","Labeo","Labeo bata","Y",NA,NA,24.7763280616774,8.20463035505124
"511","Cyprinidae","Labeo","Labeo calbasu","Y",NA,NA,27.1505853272763,3.2783219264841
"512","Cyprinidae","Labeo","Labeo fimbriatus","Y",NA,NA,27.5418337349134,1.15163857346783
"513","Cyprinidae","Labeo","Labeo gonius","Y",NA,NA,25.592843545404,3.22197978847501
"514","Cyprinidae","Labeo","Labeo rohita","Y","Y",NA,26.3992058284889,3.92662766070482
"515","Tetraodontidae","Lagocephalus","Lagocephalus guentheri","Y",NA,NA,29.1825275812873,3.00058795015827
"516","Tetraodontidae","Lagocephalus","Lagocephalus lagocephalus","Y",NA,NA,25.9025572264713,4.94220339146328
"517","Sparidae","Lagodon","Lagodon rhomboides",NA,"Y",NA,25.2705511479476,4.59987396659618
"518","Lamnidae","Lamna","Lamna nasus","Y",NA,NA,12.4987561970237,6.80007361227776
"519","Lampridae","Lampris","Lampris guttatus","Y",NA,NA,19.3058870258295,5.55023733731149
"520","Sciaenidae","Larimichthys","Larimichthys crocea",NA,"Y",NA,24.5154914370943,3.10192838248598
"521","Sciaenidae","Larimichthys","Larimichthys polyactis","Y",NA,NA,21.6080030422024,2.75394087019069
"522","Lateolabracidae","Lateolabrax","Lateolabrax japonicus","Y",NA,NA,19.859123402716,5.28181913438351
"523","Centropomidae","Lates","Lates calcarifer","Y","Y",NA,29.0578469545355,2.13116337979734
"524","Centropomidae","Lates","Lates niloticus","Y",NA,NA,27.5994375013007,3.00865572308354
"525","Leuciscidae","Lavinia","Lavinia exilicauda",NA,"Y",NA,16.8990330974805,4.65060763464175
"526","Pimelodidae","Leiarius","Leiarius marmoratus","Y",NA,NA,26.4461999355112,1.76456616996245
"527","Leiognathidae","Leiognathus","Leiognathus brevirostris","Y",NA,NA,28.3535703992396,1.5737231693507
"528","Cobitidae","Lepidocephalichthys","Lepidocephalichthys guntea","Y",NA,NA,26.0443296478311,6.98670200730409
"529","Leuciscidae","Lepidomeda","Lepidomeda copei",NA,"Y",NA,11.4282225846054,5.17937197000642
