"","sci_name","Genus","Species","nutrient_data","ctmax_estimate","gl_fish","db","Family"
"115","Epinephelus morio","Epinephelus","morio","Y",NA,NA,"itis","Serranidae"
"116","Scomberomorus cavalla","Scomberomorus","cavalla","Y",NA,NA,"itis","Scombridae"
"117","Cynoscion nebulosus","Cynoscion","nebulosus","Y","Y",NA,"itis","Sciaenidae"
"118","Lutjanus synagris","Lutjanus","synagris","Y",NA,NA,"itis","Lutjanidae"
"119","Selene vomer","Selene","vomer","Y",NA,NA,"itis","Carangidae"
"120","Atherina boyeri","Atherina","boyeri","Y",NA,NA,"itis","Atherinidae"
"121","Boops boops","Boops","boops","Y",NA,NA,"itis","Sparidae"
"122","Mullus barbatus","Mullus","barbatus","Y",NA,NA,"itis","Mullidae"
"123","Spicara smaris","Spicara","smaris","Y",NA,NA,"itis","Centracanthidae"
"124","Micropogonias furnieri","Micropogonias","furnieri","Y",NA,NA,"itis","Sciaenidae"
"125","Cirrhinus mrigala","Cirrhinus","mrigala","Y","Y",NA,"itis","Cyprinidae"
"126","Oncorhynchus kisutch","Oncorhynchus","kisutch","Y","Y","Y","itis","Salmonidae"
"127","Gudusia chapra","Gudusia","chapra","Y",NA,NA,"itis","Clupeidae"
"128","Chela cachius","Chela","cachius","Y",NA,NA,"itis","Cyprinidae"
"129","Setipinna phasa","Setipinna","phasa","Y",NA,NA,"itis","Engraulidae"
"130","Systomus sarana","Systomus","sarana","Y",NA,NA,"itis",NA
"131","Arabibarbus grypus","Arabibarbus","grypus","Y",NA,NA,"itis",NA
"132","Leiognathus dussumieri","Leiognathus","dussumieri","Y",NA,NA,"itis","Leiognathidae"
"133","Photopectoralis bindus","Photopectoralis","bindus","Y",NA,NA,"itis",NA
"134","Sillago ingenuua","Sillago","ingenuua","Y",NA,NA,"itis","Sillaginidae"
"135","Stolephorus indicus","Stolephorus","indicus","Y",NA,NA,"itis","Engraulidae"
"136","Cheilinus fasciatus","Cheilinus","fasciatus","Y",NA,NA,"itis","Labridae"
"137","Scarus ghobban","Scarus","ghobban","Y",NA,NA,"itis","Scaridae"
"138","Esomus danrica","Esomus","danrica","Y",NA,NA,"itis","Cyprinidae"
"139","Glossogobius giuris","Glossogobius","giuris","Y",NA,NA,"itis","Gobiidae"
"140","Lethrinus mahsena","Lethrinus","mahsena","Y",NA,NA,"itis","Lethrinidae"
"141","Lethrinus microdon","Lethrinus","microdon","Y",NA,NA,"itis","Lethrinidae"
"142","Perca fluviatilis","Perca","fluviatilis","Y","Y",NA,"itis","Percidae"
"143","Abramis brama","Abramis","brama","Y","Y",NA,"itis","Leuciscidae"
"144","Heteropneustes fossilis","Heteropneustes","fossilis","Y","Y",NA,"itis","Heteropneustidae"
"145","Sperata seenghala","Sperata","seenghala","Y",NA,NA,"itis","Bagridae"
"146","Anabas testudineus","Anabas","testudineus","Y","Y",NA,"itis","Anabantidae"
"147","Ailia coila","Ailia","coila","Y",NA,NA,"itis","Schilbeidae"
"148","Xenentodon cancila","Xenentodon","cancila","Y",NA,NA,"itis","Belonidae"
"149","Gibelion catla","Gibelion","catla","Y",NA,NA,"itis","Cyprinidae"
"150","Merluccius gayi","Merluccius","gayi","Y",NA,NA,"itis","Merlucciidae"
"151","Lophius piscatorius","Lophius","piscatorius","Y",NA,NA,"itis","Lophiidae"
